Year of arrival at port of disembarkation,Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,VOYAGEID2,Captives arrived at 1st port,Captain's name
1760,90767,Jenny,Liverpool,Cabinda,Londontowne,,333,"Wilkinson, John"
1759,90768,Rebecca,Liverpool,Saint-Louis,"Martinique, place unspecified",,,"Boyd, Robert"
1759,90769,Knight,Liverpool,"Whydah, Ouidah","Jamaica, place unspecified",,,"Jenkinson, William"
1761,90770,Knight,Liverpool,"Whydah, Ouidah",Basse-Terre,,446,"Jenkinson, William"
1762,90771,Knight,Liverpool,"Whydah, Ouidah",Basse-Terre,,405,"Jenkinson, William"
1759,90772,Upton,Liverpool,Gambia,Annapolis,,205,"Birch, Thomas"
1761,90773,Upton,Liverpool,Gambia,North Potomac,,137,"Pemberton, Samuel<br/> Birch"
1759,90775,Kitty,Liverpool,Gambia,"St. Kitts, port unspecified",,,"Whiteside, John"
1759,90776,Tyrrell,Liverpool,Calabar,Saint John (Antigua),,300,"Gill, William"
1759,90777,Chesterfield,Liverpool,Calabar,,,,"Hesketh, Joseph"
1760,90778,Jane,Liverpool,Gambia,"Barbados, place unspecified",,41,"Hayes, Daniel"
1759,90779,Goree,Liverpool,"Senegambia and offshore Atlantic, port unspecified",Basse-Terre,,88,"Whitfield, William"
1761,90780,Goree,Liverpool,Gambia,"Barbados, place unspecified",,75,"Whitfield, William"
1760,90781,Elizabeth,Liverpool,Loango,Basse-Terre,,275,"Baillie, John"
1759,90782,Hare,Liverpool,"Windward Coast, place unspecified","Jamaica, place unspecified",,280,"Colley, George"
1761,90783,Hare,Liverpool,Banana Islands,Rappahannock,,258,"Colley, George"
1763,90784,Hare,Liverpool,Sierra Leone estuary,Kingston,,260,"Colley, George"
1760,90785,King George,Liverpool,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",,,"Jackson, Richard"
1759,90786,Spy,Liverpool,,,,,"Creevey, William"
1759,90787,Hannah,Liverpool,"Windward Coast, place unspecified","North Carolina, port unspecified",,258,"Prescot, Edward"
1761,90788,Hannah,Liverpool,"West Central Africa and St. Helena, port unspecified",Basse-Terre,,,"Prescot, Edward"
1763,90789,Hannah,Liverpool,"West Central Africa and St. Helena, port unspecified",Annapolis,,315,"Prescott, Edward"
1765,90790,Hannah,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,,297,"Prescot, Edward"
1767,90791,Hannah,Liverpool,Anomabu,"Grenada, place unspecified",,268,"Prescot, Edward<br/> Forsyth, John"
1759,90792,Snapper,Liverpool,"Windward Coast, place unspecified",Caribbean (colony unspecified),,,"Salthouse, James"
1760,90793,Snapper,Liverpool,Iles de Los,Basse-Terre,,113,"Salthouse, James"
1761,90794,Snapper,Liverpool,Iles de Los,,,,"Brettargh, William<br/> Waterhouse"
1760,90795,Ferret,Liverpool,Calabar,"Martinique, place unspecified",,,"Bury, John"
1760,90796,Isaac,Liverpool,Iles Plantain,"Barbados, place unspecified",,207,"Clatworthy, David"
1760,90797,Beaver,Liverpool,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",,,"Hayes, William"
1760,90798,Beaver,Liverpool,Malembo,Basse-Terre,,,"Saunders, James"
1760,90799,Juba,Liverpool,Iles de Los,Upper James River,,225,"Tallon, John"
1762,90800,Juba,Lancaster,"Africa, port unspecified","Martinique, place unspecified",,240,"Tallon, John"
1759,90801,Betsey,Liverpool,,,,,"Jones, John"
1760,90802,Prince Henry,Liverpool,Bonny,"Barbados, place unspecified",,385,"Chaffers, Thomas<br/> Karr, Thomas"
1761,90803,Prince Henry,Liverpool,Loango,"Guadeloupe, place unspecified",,270,"Chaffers, Thomas"
1762,90804,Prince of Wales,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,,361,"Billinge, James"
1763,90805,Prince of Wales,Liverpool,Bonny,Kingston,,,"Perkins, John"
1766,90806,Prince of Wales,Liverpool,Bonny,Kingston,,506,"Perkins, John"
1769,90807,Prince of Wales,Liverpool,Bonny,"Barbados, place unspecified",,300,"Bold, Arthur"
1760,90808,Ford,Liverpool,"Gold Coast, port unspecified","Jamaica, place unspecified",,,"Hutton, William"
1760,90809,Prince Tom,Liverpool,Malembo,"Jamaica, place unspecified",,530,"Smith, William"
1760,90810,Oronoko,Liverpool,Bonny,"Barbados, place unspecified",,350,"Cowley, Stretch<br/> Parr, Henry"
1761,90811,Oronoko,Liverpool,Bonny,"Saint-Domingue, then Haiti, port unspecified",,,"Cowley, Stretch<br/> Parr, Henry"
1760,90812,Pearl,Liverpool,Loango,Charleston,,362,"Pollard, Thomas"
1760,90813,Essex,Liverpool,"Windward Coast, place unspecified","St. Kitts, port unspecified",,240,"Brettargh, William<br/> Waterson"
1760,90814,Essex,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,212,"Brettargh, William<br/> Waterson"
1761,90815,Essex,Liverpool,Iles de Los,"St. Kitts, port unspecified",,,"Brown, Edmund<br/> Waterson"
1762,90816,Essex,Liverpool,"Windward Coast, place unspecified","St. Kitts, port unspecified",,,"Brown, Edmund"
1763,90817,Essex,Liverpool,"Windward Coast, place unspecified","St. Kitts, port unspecified",,,"Brown, Edmund"
1765,90818,Essex,Liverpool,Bassa,Charleston,,190,"Seaman, William"
1766,90819,Essex,Liverpool,Cape Mount (Cape Grand Mount),Saint John (Antigua),,183,"Seaman, William"
1768,90820,Essex,Liverpool,"Windward Coast, place unspecified",Saint John (Antigua),,230,"Seaman, William"
1769,90821,Essex,Liverpool,Bassa,"Barbados, place unspecified",,268,"Seaman, William"
1761,90822,Dove,Liverpool,"Senegambia and offshore Atlantic, port unspecified",Rappahannock,,140,"Williams, Hugh"
1761,90823,Dove,Liverpool,Gambia,,,,"Halford, Edw Draper<br/> Brown"
1760,90824,Nestor,Liverpool,Anomabu,Charleston,,208,"Maddock, John"
1760,90825,Charlotte,Liverpool,"Windward Coast, place unspecified","St. Kitts, port unspecified",,90,"Eaton, Thomas"
1761,90826,Charlotte,Liverpool,Cameroons,"Americas, port unspecified",,,"Eaton, Thomas"
1762,90827,Charlotte,Liverpool,,,,,"Eaton, Thomas"
1760,90828,Marquis of Granby,Liverpool,"Gold Coast, port unspecified",Basse-Terre,,360,"Gawith, Samuel"
1762,90829,Marquis of Granby,Liverpool,Calabar,"French Caribbean, colony unspecified",,345,"Lace, Ambrose"
1760,90830,Rumbold,Liverpool,Loango,Basse-Terre,,682,"Maddock, James<br/> Sacheverell, John"
1761,90831,Rumbold,Liverpool,"West Central Africa and St. Helena, port unspecified",Basse-Terre,,,"Barrett, Thomas<br/> Sacheverell, John"
1760,90832,Industry,Liverpool,Calabar,"French Caribbean, colony unspecified",,115,"Hindle, William"
1761,90833,Larke,Liverpool,Anomabu,"Jamaica, place unspecified",,355,"Gilman, Alex<br/> Lowe, James"
1762,90834,Larke,Liverpool,Anomabu,Kingston,,350,"Lowe, James"
1760,90835,Carolina,Liverpool,"Windward Coast, place unspecified",Charleston,,190,"Kennedy, John"
1762,90836,Carolina,Liverpool,Loango,Patuxent,,111,"Kennedy, John"
1761,90837,Apollo,Liverpool,Gambia,Basse-Terre,,,"Billinge, Henry"
1759,90838,Recovery,Liverpool,Bassa,,,,"Berrill, Chris"
1761,90839,Favourite,Liverpool,Malembo,Basse-Terre,,400,"Johnson<br/> Monypenny, James"
1762,90840,Wolfe,Liverpool,"Whydah, Ouidah",Basse-Terre,,408,"Chadwick, Richard"
1760,90841,William,Liverpool,Bonny,"Jamaica, place unspecified",,208,"Willcock, Blackburn"
1759,90842,Wolfe,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,,"Smith, Edward"
1760,90843,Francis,Liverpool,,,,,"Dickenson, Nathan<br/> Onslow"
1761,90844,Elizabeth,Liverpool,Sierra Leone estuary,Basse-Terre,,,"Shepherd, Wilson"
1761,90845,Wolfe,Liverpool,Calabar,Basse-Terre,,159,"Campbell, William"
1761,90846,Wolfe,Liverpool,,,,,"Campbell, William"
1760,90847,Prince Bevern,Liverpool,"Gold Coast, port unspecified","Martinique, place unspecified",,,"Nicols, Timothy"
1760,90848,Samuel,Liverpool,,,,,"Whitehead, Richard"
1761,90849,Molly,Liverpool,Benin,"Jamaica, place unspecified",,264,"Cropper, Edward (Jr)"
1763,90850,Molly,Liverpool,Benin,"Grenada, place unspecified",,289,"Dutery, Richard"
1760,90851,Phoenix,Liverpool,,,,,"Washington, George"
1761,90852,Betty,Liverpool,,,,,"Hughes, John"
1762,90853,Lively,Liverpool,"Whydah, Ouidah","Barbados, place unspecified",,270,"Giball, John"
1764,90854,Lively,Liverpool,"Whydah, Ouidah","Barbados, place unspecified",,208,"Cabbat<br/> Giball, John"
1761,90855,Brew,Liverpool,Popo,Cayenne,,,"Crump, George"
1761,90856,Peggy,Liverpool,Iles de Los,Rappahannock,,147,"Davies, Cuthbert"
1761,90857,Lawrell,Liverpool,Gambia,,,,"Benn, Richard"
1762,90858,Tyrrell,Liverpool,Calabar,"St. Kitts, port unspecified",,,"Hindle, William<br/> McNeale, Hugh"
1761,90859,Boscawen,Liverpool,Calabar,Basse-Terre,,165,"Mackie, David<br/> McQuoid"
1760,90860,Calipso,Liverpool,Bonny,"Jamaica, place unspecified",,387,"Copeland, John"
1761,90861,Adventure,Liverpool,"West Central Africa and St. Helena, port unspecified",Basse-Terre,,350,"Johnston, George<br/> Frazer"
1761,90862,Active,Liverpool,Bonny,"Jamaica, place unspecified",,337,"Dobb<br/> Hope, David"
1762,90863,Active,Liverpool,Bonny,"Martinique, place unspecified",,,"Hope, David"
1761,90864,Sally,Liverpool,"West Central Africa and St. Helena, port unspecified","Grenada, place unspecified",,150,"Robinson, Charles"
1762,90865,Rainbow,Lancaster,Sierra Leone estuary,Saint John (Antigua),,255,"Saul, William"
1760,90866,Talbot,Liverpool,Saint-Louis,,,,"Clare, John"
1761,90868,Shark,Liverpool,Bonny,"Martinique, place unspecified",,,"Owen, Robert"
1760,90869,Charming Fanny,Liverpool,Bonny,Basse-Terre,,490,"Finch, Michael"
1761,90870,Kitty,Liverpool,Sierra Leone estuary,Basse-Terre,,117,"Banks, John<br/> Thornborrow, Giles"
1761,90871,Kitty,Liverpool,Sierra Leone estuary,,,,"Thornborrow, Giles"
1760,90872,Spencer,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,,"Cook, Daniel"
1761,90873,Eadith,Liverpool,Bassa,York River,,154,"Jordan, Thomas"
1762,90874,Eadith,Liverpool,Gambia,St. Croix,,,"Jordan, Thomas<br/> Rabine"
1760,90875,Parnassus,Liverpool,Bassa,"Martinique, place unspecified",,,"Gillman, John"
1761,90876,Clow,Liverpool,Sherbro,"Barbados, place unspecified",,,"Woddell, William"
1761,90877,Sally,Liverpool,Sierra Leone estuary,"Barbados, place unspecified",,200,"McGill, Edward"
1761,90878,Sally,Liverpool,Iles de Los,,,,"McGill, Edward"
1761,90879,Prince William,Liverpool,"Gold Coast, port unspecified","Jamaica, place unspecified",,,"Kewley, Philip"
1761,90880,Bassa,Liverpool,"Windward Coast, place unspecified",Rappahannock,,170,"Lowe, William"
1762,90881,Bassa,Liverpool,"Windward Coast, place unspecified","Barbados, place unspecified",,110,"Dickson, Thomas"
1760,90882,Four Friends,Liverpool,"Windward Coast, place unspecified",,,,"Dawson, Thomas"
1761,90883,Antigua Merchant,Liverpool,Gabon,"St. Kitts, port unspecified",,,"Birch<br/> Black, Anthony"
1755,90885,Antigua Merchant,Liverpool,"Windward Coast, place unspecified","Barbados, place unspecified",,157,"Thomas, Robert<br/> Davis, John"
1757,90886,Antigua Merchant,Liverpool,Gabon,"Barbados, place unspecified",,137,"Davis, John"
1758,90887,Antigua Merchant,Liverpool,Gabon,"St. Kitts, port unspecified",,120,"Davis, John"
1761,90888,William and Edward,Liverpool,"Windward Coast, place unspecified",Rappahannock,,117,"Foster, William"
1761,90890,James,Liverpool,Iles de Los,Charleston,,150,"Howell, Henry"
1761,90891,Molly,Liverpool,Bance/Bunce Island,"French Caribbean, colony unspecified",,,"Atwell, William<br/> Millroy, William"
1760,90892,Vestal,Liverpool,Cameroons,,,,"Bury, John"
1761,90893,Liberty,Liverpool,"West Central Africa and St. Helena, port unspecified",Basse-Terre,,,"Forde, William"
1763,90894,Liberty,,"Africa, port unspecified",Kingston,,605,"Forde, William"
1761,90895,Friendship,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,158,"Entwistle, Richard"
1761,90896,Friendship,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,,"Entwistle, Richard"
1761,90897,Nancy,Liverpool,Sierra Leone estuary,"Barbados, place unspecified",,,"McAnslane, Patrick"
1761,90898,Nancy,Liverpool,"Windward Coast, place unspecified",,,,"McAnslane, Patrick"
1761,90899,Hero,Liverpool,"West Central Africa and St. Helena, port unspecified",Saint John (Antigua),,,"Kirkpatrick, Walter<br/> Taylor"
1763,90900,Hero,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified",,360,"Clifton, John"
1761,90901,Minerva,Liverpool,Calabar,Basse-Terre,,,"Farrar, John"
1761,90902,Young James,Liverpool,Popo,"Jamaica, place unspecified",,,"Mitchell, Robert"
1762,90903,Young James,Liverpool,Popo,,,,"Mitchell, Robert"
1760,90904,Phoebe,Liverpool,Gambia,Cayenne,,,"Freeman, John Paul<br/> Bennett"
1761,90905,Union,Liverpool,Cameroons,Basse-Terre,,150,"Hughes, Thomas"
1762,90906,Union,Liverpool,Bonny,"French Caribbean, colony unspecified",,,"Hughes, Thomas"
1764,90907,Union,Liverpool,Cameroons,"St. Kitts, port unspecified",,184,"Hughes, Thomas"
1762,90908,Ranger,Liverpool,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",,280,"Speers, William"
1763,90909,Ranger,Liverpool,"West Central Africa and St. Helena, port unspecified",Havana,,345,"Speers, William"
1765,90910,Ranger,Liverpool,Cabinda,"Barbados, place unspecified",,320,"Speers, William"
1760,90911,Prince Vada,Liverpool,Malembo,"St. Kitts, port unspecified",,180,"Clifton, John"
1761,90912,Pallas,Liverpool,Bonny,,,,"Williams, William"
1761,90913,York,Liverpool,,,,,"Hassey, Peter"
1762,90914,Mary,Liverpool,Calabar,"Barbados, place unspecified",,139,"Briggs, James<br/> Onslow, Thomas"
1762,90915,Emperor,Liverpool,"Windward Coast, place unspecified",,,,"Bainbridge, Chris"
1761,90916,Anton,Liverpool,Anomabu,"St. Kitts, port unspecified",,238,"Wheelwright, Timothy"
1763,90917,Anton,Liverpool,"Gold Coast, port unspecified",Kingston,,240,"Wheelwright, Timothy"
1763,90918,Anton,Liverpool,"Windward Coast, place unspecified","St. Kitts, port unspecified",,248,"Brettargh, William"
1765,90919,Anton,Liverpool,Bassa,Kingston,,217,"Brettargh, William"
1761,90920,Nanny,Liverpool,Saint-Louis,Upper James River,,110,"McDougal, James"
1762,90921,Nanny,Liverpool,Saint-Louis,"Virginia, port unspecified",,103,"McDougal, James"
1763,90922,Nanny,Liverpool,Saint-Louis,"Barbados, place unspecified",,67,"McDougal, James"
1764,90923,Nanny,Liverpool,Saint-Louis,"Barbados, place unspecified",,278,"McDougal, James"
1765,90924,Nanny,Liverpool,Saint-Louis,,,,"McDougal, James"
1762,90925,Forde,Liverpool,"Gold Coast, port unspecified",Kingston,,372,"Hutton, William"
1763,90926,Forde,Liverpool,Bonny,Kingston,,285,"Hutton, William"
1762,90927,Rainbow,Liverpool,"Windward Coast, place unspecified",Kingston,,270,"Dawson, John<br/> Harrison, Joseph"
1764,90928,Rainbow,Liverpool,Benin,Kingston,,273,"Gill, William"
1765,90929,Rainbow,Liverpool,Benin,,,,"Gill, William"
1761,90930,Catherine,Liverpool,"West Central Africa and St. Helena, port unspecified",,,,"Maxwell, Hugh"
1762,90931,Meredith,Liverpool,Calabar,"St. Kitts, port unspecified",,,"Gill, William<br/> Yewart, John"
1761,90932,Lyon,Liverpool,"West Central Africa and St. Helena, port unspecified","Jamaica, place unspecified",,,"Parkinson, William"
1762,90933,Betty,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,260,"Coltworthy<br/> Sharp, Elijah"
1761,90934,Middleton,Liverpool,Bonny,Basse-Terre,,,"Metcalf, William"
1762,90935,Sampson,Liverpool,"Whydah, Ouidah",Basse-Terre,,,"Green<br/> Jackson, Richard"
1762,90936,Plumper,Liverpool,"Windward Coast, place unspecified",Kingston,,265,"Dobb, Richard"
1763,90937,Plumper,Liverpool,"Windward Coast, place unspecified",Kingston,,260,"Dobb, Richard"
1762,90938,Sparke,Liverpool,"Windward Coast, place unspecified",Kingston,,136,"Campbell, Charles"
1761,90939,Betty,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,,"Price, Ebenezer"
1762,90940,Betty,Liverpool,,,,,"Price, Ebenezer"
1762,90941,Sea Horse,Liverpool,"Windward Coast, place unspecified",Kingston,,130,"Glover, Elias"
1763,90942,Sea Horse,Liverpool,Cape Mount (Cape Grand Mount),Charleston,,130,"Glover, Elias"
1761,90943,Elizabeth,Liverpool,,,,,"Gilman, John"
1761,90944,Boscawen,Liverpool,"Windward Coast, place unspecified","Martinique, place unspecified",,,"Washington, George"
1761,90945,Charles,Liverpool,"Windward Coast, place unspecified",,,,"Davies, John"
1762,90946,Lancashire Witch,Liverpool,"Windward Coast, place unspecified",Rappahannock,,186,"Ross, Henry"
1761,90947,Jenny,Liverpool,"West Central Africa and St. Helena, port unspecified","Barbados, place unspecified",,,"Wilkinson, John"
1761,90948,Thetis,Liverpool,Sierra Leone estuary,Cayenne,,,"Kendall, James<br/> Preston, John<br/> Pearce, Thomas"
1762,90949,Panther,Liverpool,"Gold Coast, port unspecified",Rappahannock,,106,"Davis, Thomas<br/> Kempstead, Benjamin"
1761,90950,Hesketh,Liverpool,"Windward Coast, place unspecified","St. Kitts, port unspecified",,,"Davidson, Edward<br/> Dickenson"
1762,90951,Kildare,Liverpool,Cameroons,"St. Kitts, port unspecified",,,"Bury, John"
1763,90952,Kildare,Liverpool,Cameroons,"St. Kitts, port unspecified",,,"Bury, John"
1765,90953,Kildare,Liverpool,Bonny,"Grenada, place unspecified",,240,"Bury, John"
1765,90954,Kildare,Liverpool,Bonny,"Grenada, place unspecified",,283,"Bury, John<br/> Parr, Henry"
1767,90955,Kildare,Liverpool,Bonny,"Grenada, place unspecified",,230,"Parr, Henry"
1768,90956,Kildare,Liverpool,Bonny,"Barbados, place unspecified",,209,"Owen, Henry<br/> Parr, Henry"
1769,90957,Kildare,Liverpool,Bonny,"Grenada, place unspecified",,200,"Berry, Richard"
1770,90958,Kildare,Liverpool,Bonny,"Barbados, place unspecified",,210,"Berry, Richard"
1763,90959,Mentor,Liverpool,"Whydah, Ouidah",Kingston,,521,"Copland, John"
1761,90960,Marquis of Granby,Liverpool,"Windward Coast, place unspecified","Puerto Rico, port unspecified",,124,"Brown, Thomas"
1762,90961,Hope,Liverpool,"Windward Coast, place unspecified",Charleston,,150,"Gillman, John"
1763,90962,Joseph,Liverpool,"Windward Coast, place unspecified","Barbados, place unspecified",,70,"Clare, John"
1762,90963,Polly,Liverpool,"Senegambia and offshore Atlantic, port unspecified",Rappahannock,,222,"Boyd, Robert<br/> Carrol, Hugh"
1764,90964,Polly,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Havana,,,"Boyd, Robert"
1763,90965,Ingram,Liverpool,Loango,"Barbados, place unspecified",,330,"Hughes, John<br/> Caton, Thomas"
1764,90966,Johnson,Liverpool,Loango,"Barbados, place unspecified",,240,"Clay, John<br/> Robinson, Chris"
1762,90967,Douglas,Liverpool,Bonny,"Martinique, place unspecified",,258,"Finch, Michael"
1764,90968,Jupiter,Liverpool,Calabar,Kingston,,250,"Connor, Michael"
1763,90969,Edgar,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,,380,"Baillie, John"
1765,90970,Edgar,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,,460,"Baillie, John"
1762,90971,Peggy,Liverpool,Sierra Leone estuary,"St. Kitts, port unspecified",,117,"Davies, Cuthbert"
1765,90972,Peggy,Liverpool,Benin,Kingston,,196,"Matthews, Joseph"
1766,90973,Peggy,Liverpool,Benin,Kingston,,225,"Matthews, Joseph"
1762,90974,Ann,Liverpool,Calabar,"Martinique, place unspecified",,,"Hoggan, John"
1765,90975,Lord Pulteney,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,,213,"Hassey, Peter<br/> Hodgson"
1763,90976,Neptune,Liverpool,,,,,"Sharp, Elijah"
1762,90977,Molly,Liverpool,"West Central Africa and St. Helena, port unspecified",Basse-Terre,,225,"Briggs, Francis"
1764,90978,Molly,Liverpool,Malembo,"Barbados, place unspecified",,310,"Briggs, Francis"
1763,90979,Blundell,Liverpool,"West Central Africa and St. Helena, port unspecified",Havana,,,"Anderson<br/> Murdock, Samuel"
1763,90980,Warree,Liverpool,Benin,Kingston,,132,"Willcock, Blackburn"
1764,90981,Warree,Liverpool,Sierra Leone estuary,,,,"Brockbank, William"
1762,90982,Harlequin,Liverpool,"Windward Coast, place unspecified",,,,"McQuoid, James"
1762,90983,Briton,Liverpool,"Whydah, Ouidah",Rappahannock,,180,"Bagshaw, William<br/> Wilson, David"
1765,90984,Briton,Liverpool,,,,,"Wilcock, Blackburn"
1763,90985,Dulce,Liverpool,"Windward Coast, place unspecified",Kingston,,287,"Johnson, Robert"
1762,90986,Hawke,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,,"Eaton, John"
1763,90987,Hamilton,Liverpool,Sierra Leone estuary,Kingston,,270,"Saul, William"
1764,90988,Hamilton,Liverpool,Sierra Leone estuary,Charleston,,,"Saul, William"
1765,90989,Hamilton,Liverpool,Gambia,"Barbados, place unspecified",,,"Price, Ebenezer"
1763,90990,Sawrey,Liverpool,Anomabu,Kingston,,200,"Owen, Robert"
1764,90991,Sawrey,Liverpool,Anomabu,Kingston,,211,"Owen, Robert"
1766,90992,Sawrey,Liverpool,Anomabu,Kingston,,219,"Owen, Robert"
1763,90993,Portland,Liverpool,"Windward Coast, place unspecified",Caribbean (colony unspecified),,237,"Gawith, Samuel"
1764,90994,Portland,Liverpool,"Windward Coast, place unspecified","Grenada, place unspecified",,170,"Gawith, Samuel"
1762,90995,Apollo,Liverpool,"Windward Coast, place unspecified","Tortola, port unspecified",,,"Billinge<br/> Richardson, William"
1763,90996,Edward,Liverpool,"Windward Coast, place unspecified","Barbados, place unspecified",,91,"Farrar, John"
1762,90997,Matrimony,Liverpool,"Windward Coast, place unspecified",Basse-Terre,,,"Nichols, Timothy"
1763,90998,Cerberus,Liverpool,Bonny,"Barbados, place unspecified",,390,"Kendall, John"
1764,90999,Cerberus,Liverpool,Bonny,"Barbados, place unspecified",,303,"Kendall, John"
1766,91000,Cerberus,Liverpool,Anomabu,Kingston,,270,"Kendall, John"
1764,91001,George,Liverpool,"Windward Coast, place unspecified","Barbados, place unspecified",,150,"Campbell, William"
1764,91002,George,Liverpool,,,,,"Gardner, Caleb"
1764,91003,John,Liverpool,Bonny,"Grenada, place unspecified",,187,"Boulton, Nicholas"
1763,91004,Kingston,Liverpool,Sierra Leone estuary,Kingston,,180,"Foster, William<br/> Shepherd, Shelah"
1763,91005,Dolphin,Liverpool,Anomabu,Kingston,,350,"Johnson, George"
1764,91006,Dolphin,Liverpool,Anomabu,Kingston,,375,"Johnson, George"
1763,91007,Upton,Liverpool,"West Central Africa and St. Helena, port unspecified",Charleston,,370,"Maxwell, Hugh"
1763,91008,Charles,Liverpool,Sierra Leone estuary,Charleston,,187,"Davies, John"
1762,91009,Intrepid,Liverpool,,,,,"Lowe, William"
1763,91010,Renown,Liverpool,"Windward Coast, place unspecified",Upper James River,,170,"Pemberton, Samuel"
1764,91011,Renown,Liverpool,"Windward Coast, place unspecified",Kingston,,160,"Pemberton, Samuel"
1766,91012,Renown,Liverpool,Banana Islands,Kingston,,180,"Pemberton, Samuel"
1763,91013,Captain,Liverpool,Anomabu,Kingston,,282,"Rice, William"
1765,91014,Captain,Liverpool,Bassa,Charleston,,280,"Dobb, Richard"
1766,91015,Captain,Liverpool,"Windward Coast, place unspecified",Kingston,,245,"Dobb, Richard"
1763,91016,Dalrymple,Liverpool,Calabar,"St. Kitts, port unspecified",,,"Berry, James"
1764,91017,Dalrymple,Liverpool,Calabar,"Antigua, place unspecified",,,"Berry, James"
1763,91018,Rumbold,Liverpool,Sierra Leone estuary,Kingston,,473,"Dennison, William"
1763,91019,Jupiter,Liverpool,"Africa, port unspecified","Grenada, place unspecified",,,"Parkin, Chris"
1764,91020,Jupiter,Liverpool,Sierra Leone estuary,Kingston,,250,"Dennison, William<br/> Penny, James"
1767,91021,Jupiter,Liverpool,Sierra Leone estuary,"St. Kitts, port unspecified",,120,"Penny, James<br/> Johnson"
1763,91022,Esther,Liverpool,"Whydah, Ouidah",Basse-Terre,,,"Gardner, James<br/> Grimshaw, Robert"
1762,91023,Endeavour,Liverpool,Saint-Louis,Saint John (Antigua),,,"Brookbank, William"
1765,91024,Endeavour,Liverpool,Saint-Louis,Saint John (Antigua),,,"Brookbank, William"
1763,91025,Squirrel,Liverpool,"Whydah, Ouidah",Kingston,,410,"Chadwick, Richard"
1766,91026,Squirrel,,"Whydah, Ouidah","Barbados, place unspecified",,299,"Chadwick, Richard"
1764,91027,Betty,Liverpool,Calabar,Kingston,,210,"Evans, David<br/> Wane, Thomas"
1763,91028,Bella,Liverpool,Gambia,Havana,,,"Thornborrow, Giles"
1764,91029,Jenny,Liverpool,"Whydah, Ouidah",Charleston,,292,"McKie, George"
1766,91030,Jenny,Liverpool,"Whydah, Ouidah",Kingston,,220,"McKie, George"
1771,91031,Jenny,Liverpool,Bonny,"Barbados, place unspecified",,265,"Beatty, Robert"
1771,91032,Jenny,Liverpool,New Calabar,Zion Hill,,300,"Beatty, Robert"
1772,91033,Jenny,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","St. Kitts, port unspecified",,280,"Beatty, Robert"
1773,91034,Jenny,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,,183,"Dennison, Walter"
1764,91035,Richmond,Liverpool,Anomabu,Saint John (Antigua),,174,"Richmond, Thomas"
1766,91036,Richmond,Liverpool,Anomabu,Saint John (Antigua),,170,"Richmond, Thomas"
1764,91037,Enterprize,Liverpool,"Windward Coast, place unspecified","Grenada, place unspecified",,150,"Chapman, William"
1764,91038,Friendship,Liverpool,Calabar,Kingston,,228,"Jones, John"
1765,91039,Friendship,Liverpool,New Calabar,"Barbados, place unspecified",,300,"Jones, John"
1764,91040,Society,Liverpool,"Whydah, Ouidah",Kingston,,344,"Monypenny, James"
1766,91041,Society,Liverpool,"Whydah, Ouidah",Kingston,,317,"Monypenny, James"
1768,91042,Society,Liverpool,Porto Novo,Kingston,,355,"Monypenny, James"
1770,91043,Society,Liverpool,Anomabu,Kingston,,282,"Monypenny, James"
1771,91044,Society,Liverpool,"Whydah, Ouidah","Jamaica, place unspecified",,,"Monypenny, James"
1764,91045,Trevor,Liverpool,"Whydah, Ouidah","Jamaica, place unspecified",,190,"Gilman, John"
1766,91046,Trevor,Liverpool,"Windward Coast, place unspecified","Dominica, place unspecified",,194,"Gilman, John"
1764,91047,King of Bonny,Liverpool,"Gold Coast, port unspecified",Kingston,,92,"Carl, Andrew<br/> Postlethwaite, Henry"
1764,91048,Hunter,Liverpool,"Windward Coast, place unspecified","Barbados, place unspecified",,118,"Wiswall, Thomas"
1765,91049,Betty,Liverpool,"Lagos, Onim",Kingston,,156,"Anyon, Timothy<br/> Saxon, Joseph"
1765,91050,Nancy,Liverpool,Calabar,Kingston,,340,"Davies, John"
